,Year,Month,Glob,NHem,SHem,b24N.90N,b24S.24N,b90S.24S,b64N.90N,b44N.64N,b24N.44N,bEQU.24N,b24S.EQU,b44S.24S,b64S.44S,b90S.64S,Nino34
median_slope,0.0027378507871321013,0.0,7.775203594495927e-06,7.141227469769564e-06,8.042436687200549e-06,6.799926980649873e-06,8.294225003259028e-06,7.81428245493954e-06,5.932322381353553e-06,6.5261044176706836e-06,7.732481492749214e-06,7.726470767171624e-06,8.726899383983574e-06,1.0117145899893505e-05,6.387693912136619e-06,4.3787629994526566e-06,5.479452054794487e-06
median_interc,-4712.962354551677,6.5,-19.045871796896932,-17.48807680812229,-19.70274358316222,-16.656240256480473,-20.318390276691435,-19.142496720282914,-14.55376806023589,-15.977702058232934,-18.937391986106885,-18.92214544929123,-21.38190083846681,-24.79210729499468,-15.641713140398906,-10.724977969348664,-13.411876027397177
lower_CI_slope,0.002737752161383285,0.0,7.2866757928359575e-06,6.651923616961529e-06,7.654095701540959e-06,5.903490759753593e-06,7.810306093793878e-06,7.3539736029205274e-06,3.682701081997132e-06,5.19566098945661e-06,5.912997186097802e-06,6.943086250733424e-06,7.805370877330206e-06,9.24950856500983e-06,5.8383506659368734e-06,2.7990750882317146e-06,-6.564274128142741e-06
lower_CI_interc,-4712.720389048991,6.5,-17.847332099874514,-16.287633170106716,-18.74999926500406,-14.456950077002052,-19.131157899817467,-18.0131885618506,-9.03461352822318,-12.713631399533657,-14.473522862955358,-17.000212986504984,-19.12104998533438,-22.66347145289245,-14.293970625798213,-6.849418248752586,16.135846499898623
upper_CI_slope,0.0027380590203833284,0.0,8.196721311475417e-06,7.940854326396497e-06,8.465680905439944e-06,7.7978203682826e-06,8.819951338199515e-06,8.227304450528804e-06,8.002477345328899e-06,7.862959842740805e-06,9.240246406570838e-06,8.753602305475505e-06,9.88442822384427e-06,1.107305936073059e-05,6.9872233629933855e-06,6.885681101708977e-06,1.580388252862121e-05
upper_CI_interc,-4713.473227867356,6.5,-20.080010928961766,-19.449857749178538,-20.741118462486316,-19.104442455843667,-21.608191757907544,-20.15579270011274,-19.63262517928157,-19.257503720864932,-22.636497946611904,-21.44207966498559,-24.221747947080264,-27.13731718036529,-17.112581009012096,-16.875376887340302,-38.74152918118469
